Year,week,0
2020,42,45.55555555555556
2020,43,35.18518518518518
2020,44,68.5185185185185
2020,45,34.25925925925925
2020,46,35.37037037037037
2020,47,43.33333333333333
2020,48,42.222222222222214
2020,49,49.44444444444444
2020,50,58.333333333333336
2020,51,33.33333333333333
2020,52,20.555555555555557
2021,0,7.169811320754718
2021,1,47.73584905660378
2021,2,61.50943396226416
2021,3,34.15094339622642
2021,4,36.22641509433963
2021,5,33.39622641509435
2021,6,36.60377358490566
2021,7,46.41509433962264
2021,8,52.830188679245296
2021,9,31.698113207547173
2021,10,61.13207547169812
2021,11,47.358490566037744
2021,12,31.886792452830186
2021,13,45.66037735849057
2021,14,45.84905660377359
2021,15,28.490566037735853
2021,16,41.509433962264154
2021,17,26.415094339622648
2021,18,32.26415094339623
2021,19,26.79245283018868
2021,20,34.528301886792455
2021,21,100.0
2021,22,34.528301886792455
2021,23,42.26415094339623
2021,24,25.66037735849057
2021,25,31.698113207547173
2021,26,47.73584905660378
2021,27,66.7924528301887
2021,28,62.83018867924528
2021,29,61.50943396226416
2021,30,36.03773584905661
2021,31,54.52830188679246
2021,32,50.377358490566046
2021,33,52.264150943396224
2021,34,30.56603773584906
2021,35,40.0
2021,36,30.9433962264151
2021,37,63.20754716981133
2021,38,44.716981132075475
2021,39,61.8867924528302
2021,40,44.33962264150944
2021,41,49.81132075471699
2021,42,50.0
2021,43,42.64150943396227
2021,44,67.54716981132076
2021,45,39.05660377358491
2021,46,40.566037735849065
2021,47,71.32075471698114
2021,48,36.60377358490566
2021,49,48.301886792452834
2021,50,59.81132075471698
2021,51,35.84905660377359
2021,52,56.79245283018868
2022,0,3.4619188921859547
2022,1,30.16815034619189
2022,2,30.4648862512364
2022,3,22.453016815034623
2022,4,30.4648862512364
2022,5,27.101879327398613
2022,6,26.013847675568748
2022,7,40.454995054401586
2022,8,28.58555885262117
2022,9,17.309594460929777
2022,10,28.090999010880317
2022,11,23.63996043521266
2022,12,23.24431256181998
2022,13,22.35410484668645
2022,14,26.013847675568748
2022,15,18.694362017804156
2022,16,29.87141444114738
2022,17,32.93768545994066
2022,18,22.947576656775475
2022,19,30.16815034619189
2022,20,25.914935707220575
2022,21,29.08011869436202
2022,22,27.101879327398613
2022,23,23.936696340257175
2022,24,24.431256181998023
2022,25,20.178041543026705
